@relation data

@attribute timestamp String
@attribute speed String
@attribute status String
@attribute place String
@attribute day_of_the_week String

@data
'night', '0-5', 'Wake Up', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Sleeping', 'undefined', 'Sunday'
'night', '0-5', 'Wake Up', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Sleeping', 'undefined', 'Sunday'
'night', '0-5', 'Wake Up', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Sleeping', 'undefined', 'Sunday'
'night', '0-5', 'Wake Up', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Still', 'undefined', 'Sunday'
'night', '0-5', 'Sleeping', 'undefined', 'Sunday'
'late_night', '0-5', 'Wake Up', 'undefined', 'Sunday'
'late_night', '5-15', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Sleeping', 'undefined', 'Sunday'
'late_night', '0-5', 'Wake Up', 'undefined', 'Sunday'
'late_night', '0-5', 'Still', 'undefined', 'Sunday'
'late_night', '0-5', 'Sleeping', 'undefined', 'Sunday'
'forenoon', '0-5', 'Wake Up', 'undefined', 'Monday'
'forenoon', '0-5', 'Still', 'undefined', 'Monday'
'forenoon', '0-5', 'Still', 'undefined', 'Monday'
'forenoon', '0-5', 'Still', 'undefined', 'Monday'
'noon', '0-5', 'Still', 'undefined', 'Monday'
'night', '0-5', 'Walking', 'undefined', 'Monday'
'night', '5-15', 'Walking', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '0-5', 'Still', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '0-5', 'Vehicle', 'undefined', 'Monday'
'night', '120<=x', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '0-5', 'Vehicle', 'undefined', 'Monday'
'night', '5-15', 'Vehicle', 'undefined', 'Monday'
'night', '5-15', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '0-5', 'Still', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '5-15', 'Vehicle', 'undefined', 'Monday'
'night', '0-5', 'Vehicle', 'undefined', 'Monday'
'night', '5-15', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '15-50', 'Vehicle', 'undefined', 'Monday'
'night', '50-120', 'Vehicle', 'undefined', 'Monday'
'night', '5-15', 'Vehicle', 'undefined', 'Monday'
'night', '0-5', 'Walking', 'undefined', 'Monday'
'night', '0-5', 'Walking', 'undefined', 'Monday'
'night', '0-5', 'Walking', 'undefined', 'Monday'
'night', '0-5', 'Still', 'undefined', 'Monday'
'late_night', '0-5', 'Walking', 'undefined', 'Monday'
'late_night', '0-5', 'Walking', 'undefined', 'Monday'
'late_night', '5-15', 'Walking', 'undefined', 'Monday'
'late_night', '5-15', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '0-5', 'Still', 'undefined', 'Monday'
'late_night', '5-15', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '5-15', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '0-5', 'Vehicle', 'undefined', 'Monday'
'late_night', '0-5', 'Walking', 'undefined', 'Monday'
'late_night', '15-50', 'Walking', 'undefined', 'Monday'
'late_night', '15-50', 'Walking', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '0-5', 'Still', 'undefined', 'Monday'
'late_night', '15-50', 'Vehicle', 'undefined', 'Monday'
'late_night', '50-120', 'Vehicle', 'undefined', 'Monday'
'late_night', '5-15', 'Vehicle', 'undefined', 'Monday'
'late_night', '0-5', 'Still', 'undefined', 'Monday'
'late_night', '0-5', 'Still', 'undefined', 'Monday'
'late_night', '0-5', 'Still', 'undefined', 'Monday'
'late_night', '0-5', 'Sleeping', 'undefined', 'Monday'
'forenoon', '0-5', 'Wake Up', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'forenoon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '15-50', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '5-15', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
